Age,Gender,Education Level,Job Title,Years of Experience,Salary
29.0,1,0,58,1.5,40000.0
38.0,0,0,155,10.0,120000.0
46.0,1,3,127,19.0,150000.0
34.0,0,0,71,6.0,70000.0
36.0,1,0,152,8.0,95000.0
49.0,0,2,33,21.0,180000.0
31.0,1,0,68,3.0,50000.0
41.0,0,0,157,11.0,95000.0
47.0,1,2,34,20.0,170000.0
30.0,0,0,72,2.0,40000.0
38.0,1,2,141,9.0,110000.0
45.0,0,3,153,15.0,150000.0
28.0,1,0,59,2.0,40000.0
35.0,0,0,145,8.0,85000.0
44.0,1,0,168,14.0,130000.0
34.0,0,2,131,6.0,100000.0
35.0,1,0,157,9.0,95000.0
50.0,0,3,34,22.0,180000.0
37.0,0,0,133,10.0,120000.0
46.0,1,3,129,18.0,160000.0
31.0,0,0,72,3.0,50000.0
42.0,1,0,152,12.0,110000.0
29.0,0,0,83,1.5,40000.0
36.0,1,0,149,8.0,95000.0
44.0,0,2,137,15.0,140000.0
33.0,1,0,77,4.0,60000.0
39.0,0,0,146,9.0,110000.0
45.0,1,3,128,16.0,150000.0
32.0,0,0,73,4.0,60000.0
37.0,1,0,132,8.0,90000.0
47.0,0,2,33,20.0,180000.0
30.0,1,0,58,2.0,40000.0
38.0,0,0,159,9.0,120000.0
46.0,1,3,127,17.0,160000.0
34.0,0,0,68,5.0,70000.0
36.0,1,0,155,8.0,95000.0
49.0,0,2,34,21.0,180000.0
31.0,1,0,75,3.0,50000.0
41.0,0,0,157,11.0,95000.0
47.0,1,2,33,19.0,170000.0
29.0,0,0,59,1.5,35000.0
35.0,1,0,133,9.0,100000.0
44.0,0,3,153,15.0,150000.0
33.0,1,0,58,4.0,60000.0
35.0,0,0,145,8.0,85000.0
44.0,1,0,168,13.0,130000.0
32.0,1,0,78,4.0,65000.0
38.0,0,0,124,10.0,110000.0
49.0,1,3,34,21.0,180000.0
29.0,0,0,74,2.0,40000.0
35.0,1,0,125,7.0,90000.0
45.0,0,2,136,14.0,140000.0
33.0,1,0,68,4.0,60000.0
40.0,0,0,148,12.0,130000.0
44.0,1,3,129,16.0,160000.0
30.0,0,0,76,2.0,40000.0
37.0,1,0,145,9.0,100000.0
48.0,0,2,30,20.0,180000.0
31.0,1,0,79,3.0,55000.0
38.0,0,0,151,9.0,120000.0
45.0,1,3,128,16.0,150000.0
33.0,0,0,73,5.0,70000.0
36.0,1,0,124,8.0,95000.0
49.0,0,2,33,21.0,180000.0
31.0,1,0,75,3.0,50000.0
42.0,0,0,159,12.0,120000.0
47.0,1,2,33,19.0,170000.0
29.0,0,0,59,1.5,35000.0
35.0,1,0,133,9.0,100000.0
44.0,0,3,153,15.0,150000.0
33.0,1,0,58,4.0,60000.0
35.0,0,0,145,8.0,85000.0
44.0,1,0,168,13.0,130000.0
34.0,0,2,131,6.0,80000.0
36.0,1,0,149,8.0,95000.0
30.0,0,0,69,2.0,40000.0
37.0,1,0,125,10.0,120000.0
45.0,0,2,148,16.0,160000.0
32.0,1,0,67,4.0,65000.0
39.0,0,0,159,12.0,130000.0
47.0,1,3,28,20.0,180000.0
29.0,0,0,71,2.0,40000.0
36.0,1,0,152,9.0,100000.0
43.0,0,3,129,15.0,150000.0
32.0,1,0,72,3.0,55000.0
38.0,0,0,124,10.0,110000.0
48.0,1,2,33,21.0,180000.0
31.0,0,0,59,3.0,50000.0
40.0,1,0,132,12.0,130000.0
45.0,0,3,170,16.0,160000.0
33.0,1,0,78,4.0,60000.0
36.0,0,0,148,8.0,95000.0
47.0,1,2,34,19.0,170000.0
29.0,0,0,79,2.0,40000.0
34.0,1,0,151,7.0,90000.0
44.0,0,3,124,15.0,150000.0
33.0,1,0,74,5.0,70000.0
35.0,0,0,133,8.0,90000.0
43.0,1,2,33,18.0,170000.0
31.0,0,0,68,3.0,50000.0
41.0,1,0,155,14.0,150000.0
44.0,0,3,128,16.0,160000.0
33.0,1,0,58,4.0,60000.0
35.0,0,0,145,8.0,85000.0
45.0,1,2,28,19.0,180000.0
28.0,0,0,77,1.0,35000.0
36.0,1,0,125,8.0,110000.0
44.0,0,3,129,16.0,160000.0
31.0,1,0,72,3.0,55000.0
38.0,0,0,124,10.0,110000.0
48.0,1,2,33,21.0,180000.0
31.0,0,0,59,3.0,50000.0
40.0,1,0,132,12.0,130000.0
45.0,0,3,170,16.0,160000.0
33.0,1,0,78,4.0,60000.0
36.0,0,0,148,8.0,95000.0
47.0,1,2,34,19.0,170000.0
29.0,0,0,79,2.0,40000.0
34.0,1,0,151,7.0,90000.0
44.0,0,3,124,15.0,150000.0
33.0,1,0,74,5.0,70000.0
35.0,0,0,133,8.0,90000.0
43.0,1,2,33,18.0,170000.0
31.0,0,0,68,3.0,50000.0
41.0,1,0,155,14.0,150000.0
44.0,0,3,128,16.0,160000.0
33.0,1,0,58,4.0,60000.0
35.0,0,0,145,8.0,85000.0
43.0,1,2,34,19.0,170000.0
29.0,0,0,79,2.0,40000.0
34.0,1,0,151,7.0,90000.0
44.0,0,3,124,15.0,150000.0
31.0,1,2,20,6.0,160000.0
28.0,0,0,175,3.0,125000.0
26.0,1,2,106,2.0,120000.0
27.0,0,0,18,2.0,110000.0
30.0,1,3,20,5.0,180000.0
29.0,0,0,175,4.0,140000.0
32.0,1,0,106,7.0,170000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
28.0,1,0,175,3.0,125000.0
26.0,0,2,106,2.0,120000.0
27.0,1,0,18,2.0,110000.0
30.0,0,3,20,5.0,180000.0
29.0,1,0,175,4.0,140000.0
32.0,1,0,106,7.0,170000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
28.0,1,0,175,3.0,125000.0
26.0,0,2,106,2.0,120000.0
27.0,1,0,18,2.0,110000.0
30.0,0,3,20,5.0,180000.0
29.0,1,0,175,4.0,140000.0
32.0,1,0,106,7.0,170000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
28.0,1,0,175,3.0,125000.0
26.0,0,2,106,2.0,120000.0
27.0,1,0,18,2.0,110000.0
30.0,0,3,20,5.0,180000.0
29.0,1,0,175,4.0,140000.0
32.0,1,0,106,7.0,170000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
28.0,1,0,175,3.0,125000.0
26.0,0,2,106,2.0,120000.0
27.0,1,0,18,2.0,110000.0
30.0,0,3,20,5.0,180000.0
29.0,1,0,175,4.0,140000.0
32.0,1,0,106,7.0,170000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
25.0,0,2,18,1.0,100000.0
33.0,1,3,20,8.0,190000.0
31.0,0,0,175,6.0,155000.0
28.0,1,2,106,3.0,130000.0
30.0,0,0,18,5.0,145000.0
27.0,1,3,20,2.0,115000.0
29.0,0,0,175,4.0,140000.0
34.0,1,0,106,9.0,185000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
27.0,0,0,106,4.0,150000.0
24.0,1,0,18,1.0,90000.0
31.0,0,2,20,9.0,195000.0
28.0,1,0,175,5.0,160000.0
33.0,0,2,106,11.0,198000.0
25.0,1,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
23.0,1,0,18,1.0,95000.0
32.0,0,3,20,10.0,193000.0
29.0,1,0,175,6.0,175000.0
30.0,0,0,106,5.0,160000.0
26.0,1,0,18,3.0,130000.0
31.0,0,2,20,6.0,180000.0
28.0,1,0,175,5.0,160000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
25.0,1,0,18,2.0,110000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
27.0,0,0,106,4.0,150000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
33.0,1,2,106,11.0,198000.0
26.0,0,0,18,3.0,130000.0
30.0,1,3,20,7.0,185000.0
27.0,0,0,175,4.0,140000.0
34.0,1,2,106,12.0,196000.0
25.0,0,0,18,2.0,110000.0
32.0,1,0,175,8.0,190000.0
29.0,0,2,20,6.0,180000.0
30.0,1,0,18,5.0,160000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
31.0,0,3,20,9.0,195000.0
28.0,1,0,175,5.0,160000.0
27.0,0,0,106,4.0,150000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
25.0,1,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
25.0,0,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
25.0,0,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
25.0,0,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
25.0,1,0,18,2.0,125000.0
28.0,0,2,20,6.0,175000.0
30.0,1,0,175,8.0,190000.0
27.0,0,0,106,4.0,150000.0
24.0,1,0,18,1.0,95000.0
31.0,1,2,20,9.0,195000.0
28.0,1,0,175,5.0,160000.0
33.0,0,2,106,11.0,198000.0
26.0,1,0,18,3.0,130000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
23.0,1,0,18,1.0,90000.0
32.0,0,3,20,10.0,193000.0
29.0,1,0,175,6.0,170000.0
30.0,0,0,106,5.0,160000.0
26.0,1,0,18,3.0,135000.0
31.0,0,2,20,6.0,180000.0
28.0,1,0,175,5.0,160000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
25.0,1,0,18,2.0,115000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
27.0,0,0,106,4.0,150000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
33.0,1,2,106,11.0,198000.0
26.0,0,0,18,3.0,130000.0
30.0,1,3,20,7.0,185000.0
27.0,0,0,175,4.0,140000.0
34.0,1,2,106,12.0,196000.0
25.0,0,0,18,2.0,110000.0
32.0,1,0,175,8.0,190000.0
29.0,0,2,20,6.0,180000.0
30.0,1,0,18,5.0,160000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
31.0,0,3,20,9.0,195000.0
28.0,1,0,175,5.0,160000.0
27.0,0,0,106,4.0,150000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
25.0,1,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
25.0,0,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
25.0,0,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
23.0,1,0,18,1.0,90000.0
27.0,0,2,20,4.0,150000.0
32.0,1,0,175,8.0,190000.0
24.0,0,0,106,3.0,125000.0
25.0,1,0,18,2.0,110000.0
31.0,1,2,20,7.0,180000.0
28.0,1,0,175,5.0,160000.0
33.0,0,2,106,10.0,195000.0
26.0,1,0,18,3.0,130000.0
30.0,0,3,20,6.0,170000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,11.0,196000.0
23.0,1,0,18,1.0,92000.0
32.0,0,3,20,9.0,195000.0
29.0,1,0,175,6.0,170000.0
30.0,0,0,106,5.0,160000.0
26.0,1,0,18,3.0,135000.0
31.0,0,2,20,6.0,180000.0
28.0,1,0,175,5.0,165000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,95000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
25.0,1,0,18,2.0,115000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
27.0,0,0,106,4.0,150000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
33.0,1,2,106,11.0,198000.0
26.0,0,0,18,3.0,130000.0
30.0,1,3,20,7.0,185000.0
27.0,0,0,175,4.0,140000.0
34.0,1,2,106,12.0,196000.0
25.0,0,0,18,2.0,110000.0
32.0,1,0,175,8.0,190000.0
29.0,0,2,20,6.0,180000.0
30.0,1,0,18,5.0,160000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
31.0,0,3,20,9.0,195000.0
28.0,1,0,175,5.0,160000.0
27.0,0,0,106,4.0,150000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
25.0,1,0,18,2.0,110000.0
30.0,0,3,20,7.0,185000.0
27.0,1,0,175,4.0,140000.0
34.0,0,2,106,12.0,196000.0
31.0,1,0,18,9.0,195000.0
28.0,0,0,175,5.0,160000.0
26.0,1,0,18,3.0,130000.0
29.0,0,2,20,6.0,180000.0
32.0,1,0,175,8.0,190000.0
33.0,0,2,106,11.0,198000.0
24.0,1,0,18,1.0,90000.0
27.0,1,0,175,4.0,140000.0
